plant_id,scientific_name,synonym_scientific_name,common_name,family,light_requirement_level,min_lux,max_lux,watering_frequency_days,min_temp_celsius,max_temp_celsius,ideal_humidity_percent,is_toxic_to_dogs,is_toxic_to_cats,toxicity_symptoms,toxicity_status,care_confidence,vernacular_names_en,native_range,image_url,image_license,image_commercial_safe,gbif_usage_key,gbif_source_url,dataset_version
64,Fittonia albivenis,,Nerve Plant,Acanthaceae,Medium to Low,500,2500,5,18,28,75,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,mosaic-plant,Armenia | Barrancabermeja | Montería | Yopal | Villavicencio | Manizales; Bangladesh; Bolivia; Brazil North; Cameroon [I,https://inaturalist-open-data.s3.amazonaws.com/photos/608483280/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5574508,https://www.gbif.org/species/5574508,2026.07
65,Hypoestes phyllostachya,,Polka Dot Plant,Acanthaceae,Bright Indirect,1500,4500,5,18,28,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Baby's Tears,Armenia | Manizales | Pasto; Assam; Bogotá; Caribbean; East Africa; Galápagos Islands; INTRODUCED; Madagascar; Nepal [I],https://inaturalist-open-data.s3.amazonaws.com/photos/609153221/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3173196,https://www.gbif.org/species/3173196,2026.07
66,Bougainvillea glabra,,Paper Flower,Nyctaginaceae,Direct Sun,5000,15000,10,15,35,40,0,0,"Chemically non-toxic, but thorns can cause mechanical skin and mouth injury.",aspca_verified,high,Bougainvillea,Algeria; Andaman Is.; Armenia | Montería | Leticia | Villavicencio | Manizales | Pasto; Caribbean; INTRODUCED; Jardín Bo,https://inaturalist-open-data.s3.amazonaws.com/photos/610263561/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5384862,https://www.gbif.org/species/5384862,2026.07
67,Hibiscus rosa-sinensis,,Chinese Hibiscus,Malvaceae,Direct Sun,4000,12000,5,15,32,60,1,1,"Vomiting, diarrhea, nausea, anorexia.",aspca_verified,high,China-rose,Armenia | Leticia | Manizales | Pasto; Caribbean; East Africa; Galápagos Islands; INTRODUCED; Jardín Botánico de Bogotá;,https://inaturalist-open-data.s3.amazonaws.com/photos/606423816/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3152559,https://www.gbif.org/species/3152559,2026.07
68,Pachira aquatica,,Money Tree,Malvaceae,Bright Indirect,1500,5000,7,16,30,55,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Guiana-Chestnut,"Amazonia nororiental de Colombia, departamento del Guainía, municipio de Inírida.; Antioquia, Cauca, Chocó, Cundinamarca",https://inaturalist-open-data.s3.amazonaws.com/photos/608285375/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3152235,https://www.gbif.org/species/3152235,2026.07
69,Cyclamen persicum,,Florist's Cyclamen,Primulaceae,Bright Indirect,1500,4000,7,10,20,50,1,1,"Salivation, vomiting, diarrhea; ingestion of tubers can cause heart rhythm abnormalities, seizures, and death.",aspca_verified,high,Common Cyclamen,Algeria; Cyprus; East Aegean Is.; Greece; INTRODUCED; Italy; Kriti; Lebanon-Syria; NE-Crete [I]; Algeria; Tunisia; East ,https://inaturalist-open-data.s3.amazonaws.com/photos/605023474/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3169317,https://www.gbif.org/species/3169317,2026.07
70,Aphelandra squarrosa,,Zebra Plant,Acanthaceae,Medium to Bright,1000,3500,6,16,28,65,0,0,Non-toxic to dogs and cats (ASPCA).,aspca_verified,medium,Zebra-plant,Ascension; BR; Brazil Northeast; Brazil Southeast; Cameroon [I]; Taiwan [I]; Vietnam [I]; Singapore [I]; Cook Isl. [I]; ,https://inaturalist-open-data.s3.amazonaws.com/photos/610950357/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7263987,https://www.gbif.org/species/7263987,2026.07
71,Justicia brandegeeana,,Shrimp Plant,Acanthaceae,Bright Indirect,2000,6000,6,16,28,65,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Honolulu-salvia,Assam; Bangladesh; Benin; Bolivia; Brazil South; Galápagos Islands; Gambia [I]; Benin [I]; Cameroon [I]; Zimbabwe [I]; M,https://inaturalist-open-data.s3.amazonaws.com/photos/605073390/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3173122,https://www.gbif.org/species/3173122,2026.07
72,Ruellia makoyana,,Monkey Plant,Acanthaceae,Medium to Bright,1000,3500,6,16,28,65,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Monkey-plant,Brazil Southeast; Zimbabwe [I]; New Caledonia [I]; SE-Brazil,https://inaturalist-open-data.s3.amazonaws.com/photos/612989450/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,8029019,https://www.gbif.org/species/8029019,2026.07
73,Strobilanthes auriculata dyeriana,Strobilanthes dyerianus,Persian Shield,Acanthaceae,Bright Indirect,2000,6000,6,16,28,65,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Persian shield,"Bangladesh; Cameroon; Cameroon [I]; Zimbabwe [I]; China [I] (Guangdong [I], Yunnan [I]); India (Bihar, West Bengal); Ban",https://inaturalist-open-data.s3.amazonaws.com/photos/654756274/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3768968,https://www.gbif.org/species/3768968,2026.07
74,Faucaria tigrina,,Tiger Jaws,Aizoaceae,Direct Sun,5000,15000,18,10,35,25,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Tiger Tigerfig,BR; Cape Provinces; Eastern Cape; South Africa (E-Cape Prov.); TW; ZA,https://inaturalist-open-data.s3.amazonaws.com/photos/396716913/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3703460,https://www.gbif.org/species/3703460,2026.07
75,Fenestraria rhopalophylla,,Baby Toes,Aizoaceae,Direct Sun,5000,15000,18,10,35,25,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Windowplant,BR; Cape Provinces; Namibia; Northern Cape; ZA,https://inaturalist-open-data.s3.amazonaws.com/photos/637220861/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7329187,https://www.gbif.org/species/7329187,2026.07
76,Lithops aucampiae,,Living Stones,Aizoaceae,Direct Sun,5000,15000,18,10,35,25,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Aucamps Living Stone,"BR; Cape Provinces; Northern Cape, North-West; Northern Provinces; South Africa (North-West Prov., N-Cape Prov.); ZA",https://inaturalist-open-data.s3.amazonaws.com/photos/640631306/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7329276,https://www.gbif.org/species/7329276,2026.07
82,Ceropegia linearis,,String of Needles,Apocynaceae,Bright Indirect,2000,6000,18,10,35,25,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Heartleaf Lanternvine,BR; Cape Provinces; Eswatini; KwaZulu-Natal; Mozambique; SE; SE-Kenya; Tanzania; S-Mozambique; South Africa (KwaZulu-Nat,https://inaturalist-open-data.s3.amazonaws.com/photos/624121678/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7150667,https://www.gbif.org/species/7150667,2026.07
83,Dischidia nummularia,,String of Nickels,Apocynaceae,Bright Indirect,2000,6000,18,10,35,25,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Button orchid,"Andaman Is.; Assam; Bangladesh; Bismarck Archipelago; Borneo; Cambodia; China (Fujian, Guangdong, Guangxi, Hainan, S-Yun",https://inaturalist-open-data.s3.amazonaws.com/photos/611790591/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7439694,https://www.gbif.org/species/7439694,2026.07
84,Hoya kerrii,,Sweetheart Hoya,Apocynaceae,Bright Indirect,2000,6000,18,10,35,25,0,0,Non-toxic to dogs and cats (ASPCA).,aspca_verified,medium,Heart Hoya,BR; Cambodia; China Southeast; China [I] (S-Guangdong [I]); Thailand; Laos; Cambodia; Vietnam; Java; Jawa; Laos; Malaya;,https://inaturalist-open-data.s3.amazonaws.com/photos/606576289/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3573959,https://www.gbif.org/species/3573959,2026.07
88,Mandevilla sanderi,,Brazilian Jasmine,Apocynaceae,Direct Sun,5000,15000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,low,Brazilian jasmine,BR; Brazil Southeast; Colombia [I]; SE-Brazil; Cundinamarca; Galápagos Islands; INTRODUCED; NO,https://inaturalist-open-data.s3.amazonaws.com/photos/610223574/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3616287,https://www.gbif.org/species/3616287,2026.07
91,Alocasia cuprea,,Mirror Plant,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Alocasia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,giant caladium,BR; Borneo; Pasto; TW,https://inaturalist-open-data.s3.amazonaws.com/photos/616578386/original.jpg,http://creativecommons.org/licenses/by/4.0/,1,5329958,https://www.gbif.org/species/5329958,2026.07
92,Alocasia macrorrhizos,,Giant Taro,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Alocasia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Giant taro,Caribbean; Galápagos Islands; INTRODUCED; North America; Oceania; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/604729623/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/,1,5329904,https://www.gbif.org/species/5329904,2026.07
93,Alocasia reginula,,Black Velvet Alocasia,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Alocasia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Black Velvet Alocasia,Borneo,https://inaturalist-open-data.s3.amazonaws.com/photos/619563869/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5329895,https://www.gbif.org/species/5329895,2026.07
96,Anthurium crystallinum,,Crystal Anthurium,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Anthurium' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Crystal Anthurium,; BR; Colombia; Cuenca de Río Claro; Floridablanca; La Habana | Cundinamarca | Antioquia | Caldas | Tolima | Santander |,https://inaturalist-open-data.s3.amazonaws.com/photos/571901999/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2872232,https://www.gbif.org/species/2872232,2026.07
100,Epipremnum pinnatum,,Cebu Blue Pothos,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Epipremnum' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Centipede tongavine,Caribbean; East Africa; Galápagos Islands; INTRODUCED; North America; Oceania; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/605329944/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868272,https://www.gbif.org/species/2868272,2026.07
102,Monstera adansonii,,Swiss Cheese Vine,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Monstera' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Adanson's Monstera,"Amazonas, Antioquia, Arauca, Atlántico, Bolívar, Boyacá, Caldas, Caquetá, Casanare, Cesar, Chocó, Córdoba, Cundinamarca,",https://inaturalist-open-data.s3.amazonaws.com/photos/604861825/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868136,https://www.gbif.org/species/2868136,2026.07
103,Monstera obliqua,,Monstera Obliqua,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Monstera' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Window-Leaf Monstera,"Amazonas, Antioquia, Caldas, Caquetá, Cauca, Chocó, Cundinamarca, Meta, Putumayo, Quindío, Risaralda, Valle del Cauca, V",https://inaturalist-open-data.s3.amazonaws.com/photos/612938879/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868185,https://www.gbif.org/species/2868185,2026.07
105,Philodendron erubescens,,Blushing Philodendron,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Philodendron' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Philodendron,Armenia; BR; Colombia; Galápagos Islands; Oceania; Parque Nacional Natural Macuira; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/611189284/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2871297,https://www.gbif.org/species/2871297,2026.07
107,Philodendron hederaceum hederaceum,Philodendron micans,Velvet Leaf Philodendron,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Philodendron' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Sweetheart Plant,Caribbean; Middle America; Oceania; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/605747249/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/,1,7228286,https://www.gbif.org/species/7228286,2026.07
108,Philodendron melanochrysum,,Black Gold Philodendron,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Philodendron' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,black-gold philodendron,Antioquia; BR; Colombia; San Luis | Antioquia | Chocó | Caquetá,https://inaturalist-open-data.s3.amazonaws.com/photos/612969013/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2871241,https://www.gbif.org/species/2871241,2026.07
111,Rhaphidophora tetrasperma,,Mini Monstera,Araceae,Bright Indirect,2000,6000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,low,mini monstera,Malaya; Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/683933371/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5329745,https://www.gbif.org/species/5329745,2026.07
113,Spathiphyllum floribundum,,Snowflower,Araceae,Medium to Low,500,2500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Spathiphyllum' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Snow Flower (Peace Lily),Colombia; Cuenca de Río Claro; Ecuador; Manizales; Peru; Venezuela,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT1154000/BRIT1154877.jpg,,,2869650,https://www.gbif.org/species/2869650,2026.07
115,Xanthosoma sagittifolium,,Arrowleaf Elephant Ear,Araceae,Bright Indirect,2000,6000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,low,Arrowleaf Elephant's Ear,"Amazonas, Antioquia, Chocó, Cundinamarca, La Guajira, Nariño, Risaralda, Santander, Tolima, Valle del Cauca; Caribbean; ",https://inaturalist-open-data.s3.amazonaws.com/photos/604926112/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5330901,https://www.gbif.org/species/5330901,2026.07
118,Hedera canariensis,,Algerian Ivy,Araliaceae,Medium to Bright,1000,3500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Hedera' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Algerian ivy,"BR; Canary Is.; Cundinamarca; France [I]; ?Morocco; Azores (Santa Maria Isl., Sao Miguel Isl., Terceira, Sao Jorge, Pico",https://inaturalist-open-data.s3.amazonaws.com/photos/604661494/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3036170,https://www.gbif.org/species/3036170,2026.07
120,Polyscias fruticosa,,Ming Aralia,Araliaceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Polyscias' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Ming Aralia,Andaman Is.; Bangladesh; Bismarck Archipelago; Borneo; Caribbean; Caroline Is.; Christmas I.; Galápagos Islands; INTRODU,https://inaturalist-open-data.s3.amazonaws.com/photos/609455871/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3035652,https://www.gbif.org/species/3035652,2026.07
121,Polyscias scutellaria,,Shield Aralia,Araliaceae,Bright Indirect,2000,6000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Polyscias' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,Shield Aralia,Caribbean; Caroline Is.; Dominican Republic; Galápagos Islands; Gilbert Is.; Haiti; INTRODUCED; Leeward Is.; Line Is.; o,https://inaturalist-open-data.s3.amazonaws.com/photos/608389605/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3035778,https://www.gbif.org/species/3035778,2026.07
123,Caryota mitis,,Fishtail Palm,Arecaceae,Bright Indirect,2000,6000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Burmese Fishtail Palm,Galápagos Islands; INTRODUCED; North America; Oceania; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/605401723/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2738902,https://www.gbif.org/species/2738902,2026.07
124,Chamaedorea seifrizii,,Bamboo Palm,Arecaceae,Medium to Bright,1000,3500,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Seifriz's Chamaedorea,INTRODUCED; Middle America; Montería; North America; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/628753602/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2734708,https://www.gbif.org/species/2734708,2026.07
126,Licuala grandis,,Ruffled Fan Palm,Arecaceae,Bright Indirect,2000,6000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,medium,Grosse Licuala Palm,INTRODUCED; Malaya; Santa Cruz Is.; Society Is.; Trinidad-Tobago,https://inaturalist-open-data.s3.amazonaws.com/photos/605923997/original.jpg,http://creativecommons.org/licenses/by/4.0/,1,8008690,https://www.gbif.org/species/8008690,2026.07
129,Agave victoriae-reginae,,Queen Victoria Agave,Asparagaceae,Direct Sun,5000,15000,7,16,30,55,,,Toxicity not verified against ASPCA — treat as unknown.,unknown,low,Queen Victoria Agave,BR; Global; Mexico Northeast; TW,https://inaturalist-open-data.s3.amazonaws.com/photos/605461242/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2766696,https://www.gbif.org/species/2766696,2026.07
136,Dracaena sanderiana,,Lucky Bamboo,Asparagaceae,Medium to Low,500,2500,7,16,30,55,1,1,Inferred from ASPCA: genus 'Dracaena' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,medium,Belgian evergreen,Angola; Cameroon; Central African Republic,https://inaturalist-open-data.s3.amazonaws.com/photos/610142513/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7431653,https://www.gbif.org/species/7431653,2026.07
148,Senecio macroglossus,,Wax Ivy,Asteraceae,Bright Indirect,2000,6000,7,15,28,50,1,1,Inferred from ASPCA: genus 'Senecio' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,medium,Cape-ivy,"Congo [Brazzaville] [I]; Ethiopia [I]; Zimbabwe; Mozambique; South Africa (Mpulamanga, KwaZulu-Natal, E-Cape Prov.); Mau",https://inaturalist-open-data.s3.amazonaws.com/photos/613292592/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3107720,https://www.gbif.org/species/3107720,2026.07
151,Begonia bowerae,,Eyelash Begonia,Begoniaceae,Medium to Bright,1000,3500,6,16,28,65,1,1,Inferred from ASPCA: genus 'Begonia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,medium,Eyelash Begonia,"BR; Boyacá, Risaralda; INTRODUCED; Mexico Southeast; Mexico Southwest; Taiwan [I]; Mexico (Chiapas, Oaxaca); Colombia [c",https://inaturalist-open-data.s3.amazonaws.com/photos/375957538/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7303280,https://www.gbif.org/species/7303280,2026.07
152,Begonia coccinea,,Angel Wing Begonia,Begoniaceae,Bright Indirect,2000,6000,6,16,28,65,1,1,Inferred from ASPCA: genus 'Begonia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,medium,Scarlet Begonia,Bogotá; Brazil Southeast; Caribbean; Cuba; INTRODUCED; Puerto Rico; South America; Trinidad-Tobago; Zimbabwe [I]; Taiwan,https://inaturalist-open-data.s3.amazonaws.com/photos/618997228/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2874715,https://www.gbif.org/species/2874715,2026.07
153,Begonia luxurians,,Palm Leaf Begonia,Begoniaceae,Bright Indirect,2000,6000,6,16,28,65,1,1,Inferred from ASPCA: genus 'Begonia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,medium,palm leaf begonia,"BR; SE-Brazil (Minas Gerais, São Paulo, Rio de Janeiro)",http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/16/7/rbr00061607.jpg,http://creativecommons.org/licenses/by/4.0/,1,7303536,https://www.gbif.org/species/7303536,2026.07
177,Tradescantia pallida,,Purple Heart,Commelinaceae,Direct Sun,5000,15000,7,16,30,55,1,1,Inferred from ASPCA: genus 'Tradescantia' contains members toxic to dogs and cats. Species-level confirmation pending.,aspca_genus_inferred,low,"""Wandering Jew""",Caribbean; East Africa; Galápagos Islands; INTRODUCED; North America,https://inaturalist-open-data.s3.amazonaws.com/photos/605738794/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2765221,https://www.gbif.org/species/2765221,2026.07
